epoch,hitcount,infectedcount
0,1,1
1,12,12
2,59,59
3,336,336
4,635,635
5,1177,1177
6,1345,1345
7,1477,1476
8,1577,1565
9,1657,1598
10,1715,1379
11,1816,1181
12,1876,699
13,1906,561
14,1936,459
15,1954,377
16,3112,1455
17,3129,1414
18,3896,2080
19,3904,2028
20,3934,2028
21,3940,2004
22,3948,1994
23,3953,841
24,3969,840
25,3970,74
26,3972,68
27,3974,40
28,3981,41
29,3983,35
30,3989,36
31,3989,20
32,3989,19
33,3990,18
34,3993,19
35,3993,12
36,3995,12
37,3995,6
38,3995,6
39,3995,6
40,3996,6
41,3996,3
42,3996,3
43,3996,1
44,3996,1
45,3996,1
46,3996,1
47,3996,0
48,3996,0
49,3996,0
50,3996,0
51,3996,0
52,3996,0
53,3996,0
54,3996,0
55,3996,0
56,3996,0
57,3996,0
58,3996,0
59,3996,0
60,3996,0
